Time,Temperature
2022-10-19 11:16:00,13.3
2022-10-19 11:21:00,13.2
2022-10-19 11:27:00,13.5
2022-10-19 11:31:00,13.6
2022-10-19 11:36:00,13.3
2022-10-19 11:42:00,13.3
2022-10-19 11:47:00,13.5
2022-10-19 11:52:00,13.6
2022-10-19 11:57:00,13.3
2022-10-19 12:02:00,13.3
2022-10-19 12:06:00,14.0
2022-10-19 12:12:00,14.4
2022-10-19 12:16:00,14.5
2022-10-19 12:21:00,14.4
2022-10-19 12:28:00,14.6
2022-10-19 12:32:00,14.7
2022-10-19 12:37:00,14.6
2022-10-19 12:42:00,14.5
2022-10-19 12:47:00,14.4
2022-10-19 12:51:00,14.3
2022-10-19 12:57:00,14.2
2022-10-19 13:01:00,14.1
2022-10-19 13:06:00,13.9
2022-10-19 13:12:00,13.8
2022-10-19 13:17:00,13.8
2022-10-19 13:22:00,13.8
2022-10-19 13:27:00,13.7
2022-10-19 13:32:00,13.8
2022-10-19 13:37:00,13.8
2022-10-19 13:52:00,13.6
2022-10-19 13:53:00,13.3
2022-10-19 13:58:00,13.1
2022-10-19 14:02:00,13.0
2022-10-19 14:08:00,12.9
2022-10-19 14:13:00,12.8
2022-10-19 14:17:00,12.8
2022-10-19 14:24:00,12.7
2022-10-19 14:27:00,12.6
2022-10-19 14:32:00,12.6
2022-10-19 14:38:00,12.6
2022-10-19 14:42:00,12.6
2022-10-19 14:48:00,12.6
2022-10-19 14:53:00,12.5
2022-10-19 14:58:00,12.5
2022-10-19 15:03:00,12.5
2022-10-19 15:08:00,12.5
2022-10-19 15:12:00,12.5
2022-10-19 15:18:00,12.6
2022-10-19 15:22:00,12.6
2022-10-19 15:28:00,12.6
2022-10-19 15:33:00,12.6
2022-10-19 15:37:00,12.6
2022-10-19 15:43:00,12.6
2022-10-19 15:48:00,12.7
2022-10-19 15:53:00,12.7
2022-10-19 15:58:00,12.7
2022-10-19 16:02:00,12.8
2022-10-19 16:08:00,12.8
2022-10-19 16:13:00,12.8
2022-10-19 16:17:00,12.8
2022-10-19 16:23:00,12.8
2022-10-19 16:28:00,12.8
2022-10-19 16:33:00,12.8
2022-10-19 16:38:00,12.8
2022-10-19 16:43:00,12.8
2022-10-19 16:47:00,12.9
2022-10-19 16:53:00,12.9
2022-10-19 16:57:00,12.8
2022-10-19 17:03:00,12.9
2022-10-19 17:17:00,12.800000000000002
2022-10-19 17:23:00,12.8
2022-10-19 17:28:00,12.8
2022-10-19 17:33:00,12.8
2022-10-19 17:37:00,12.8
2022-10-19 17:42:00,12.8
2022-10-19 17:48:00,12.8
2022-10-19 17:53:00,12.8
2022-10-19 17:57:00,12.8
2022-10-19 18:04:00,12.8
2022-10-19 18:08:00,13.0
2022-10-19 18:12:00,13.6
2022-10-19 18:19:00,14.1
2022-10-19 18:22:00,14.3
2022-10-19 18:27:00,14.3
2022-10-19 18:34:00,14.3
2022-10-19 18:38:00,14.2
2022-10-19 18:42:00,14.1
2022-10-19 18:47:00,14.1
2022-10-19 18:53:00,14.0
